etablissement;annee;ville;academie;departement;taux_brut_de_reussite_total_series;taux_reussite_attendu_france_total_series
LYCEE LALANDE;2019;BOURG EN BRESSE;LYON;AIN;97;96
LYCEE JOSEPH-MARIE CARRIAT (GENERAL ET TECHNO.);2019;BOURG EN BRESSE;LYON;AIN;79;91
LYCEE INTERNATIONAL (GENERAL ET TECHNO.);2019;FERNEY VOLTAIRE;LYON;AIN;89;95
LYCEE JEANNE D'ARC;2019;CESSY;LYON;AIN;99;98
LYCEE LA PROVIDENCE;2019;LAON;AMIENS;AISNE;82;94
LYCEE ST VINCENT DE PAUL;2019;SOISSONS;AMIENS;AISNE;96;99
LYCEE THEODORE DE BANVILLE;2019;MOULINS;CLERMONT-FERRAND;ALLIER;90;94
LYCEE ALBERT LONDRES;2019;CUSSET;CLERMONT-FERRAND;ALLIER;89;92
LYCEE SAINT PIERRE;2019;CUSSET;CLERMONT-FERRAND;ALLIER;88;93
LYCEE SAINT BENOIT;2019;MOULINS;CLERMONT-FERRAND;ALLIER;89;89
LYCEE VALERY LARBAUD (GENERAL ET TECHNO.);2019;CUSSET;CLERMONT-FERRAND;ALLIER;84;93
LYCEE LE SACRE COEUR (GENERAL ET TECHNO.);2019;DIGNE LES BAINS;AIX-MARSEILLE;ALPES DE HTE PROVENCE;95;94
LYCEE AUGUSTE RENOIR;2019;CAGNES SUR MER;NICE;ALPES MARITIMES;91;94
LYCEE BRISTOL;2019;CANNES;NICE;ALPES MARITIMES;85;87
LYCEE JULES FERRY;2019;CANNES;NICE;ALPES MARITIMES;97;95
LYCEE MASSENA;2019;NICE;NICE;ALPES MARITIMES;97;93
LYCEE HONORE D'ESTIENNE D'ORVES (GENERAL ET TECHNO.);2019;NICE;NICE;ALPES MARITIMES;88;91
LYCEE LES FAUVETTES;2019;CANNES;NICE;ALPES MARITIMES;91;92
LYCEE LA PROVIDENCE;2019;NICE;NICE;ALPES MARITIMES;97;94
LYCEE ASTIER (GENERAL ET TECHNO.);2019;AUBENAS;GRENOBLE;ARDECHE;96;94
LYCEE DU SACRE COEUR (GENERAL ET TECHNO.);2019;TOURNON SUR RHONE;GRENOBLE;ARDECHE;99;94
LYCEE SAINT DENIS;2019;ANNONAY;GRENOBLE;ARDECHE;99;95
LYCEE THOMAS MASARYK;2019;VOUZIERS;REIMS;ARDENNES;89;90
LYCEE SAINT PAUL (GENERAL ET TECHNO.);2019;CHARLEVILLE MEZIERES;REIMS;ARDENNES;97;94
LYCEE PYRENE (GENERAL ET TECHNO.);2019;PAMIERS;TOULOUSE;ARIEGE;88;92
LYCEE CHRESTIEN DE TROYES;2019;TROYES;REIMS;AUBE;89;88
LYCEE ST FRANCOIS DE SALES;2019;TROYES;REIMS;AUBE;100;95
LYCEE LA SALLE;2019;TROYES;REIMS;AUBE;94;95
LYCEE PAUL SABATIER;2019;CARCASSONNE;MONTPELLIER;AUDE;93;91
LYCEE DOCTEUR LACROIX;2019;NARBONNE;MONTPELLIER;AUDE;92;90
LYCEE LOUISE MICHEL (GENERAL ET TECHNO.);2019;NARBONNE;MONTPELLIER;AUDE;89;90
LYCEE LA DECOUVERTE (GENERAL ET TECHNO.);2019;DECAZEVILLE;TOULOUSE;AVEYRON;99;94
LYCEE JEAN VIGO;2019;MILLAU;TOULOUSE;AVEYRON;92;92
LYCEE FRANCOIS D'ESTAING;2019;RODEZ;TOULOUSE;AVEYRON;95;96
LYCEE EMILE ZOLA (GENERAL ET TECHNO.);2019;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;92;93
LYCEE MARSEILLEVEYRE;2019;MARSEILLE 08;AIX-MARSEILLE;BOUCHES DU RHONE;88;92
LYCEE MONTGRAND;2019;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;87;84
LYCEE VICTOR HUGO;2019;MARSEILLE 03;AIX-MARSEILLE;BOUCHES DU RHONE;68;66
LYCEE DENIS DIDEROT (GENERAL ET TECHNO.);2019;MARSEILLE 13;AIX-MARSEILLE;BOUCHES DU RHONE;79;81
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.);2019;MARTIGUES;AIX-MARSEILLE;BOUCHES DU RHONE;92;89
LYCEE NATIVITE (LA);2019;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;100;98
LYCEE ST VINCENT DE PAUL (GENERAL ET TECHNO.);2019;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;83;85
LYCEE STE MARIE;2019;AUBAGNE;AIX-MARSEILLE;BOUCHES DU RHONE;100;97
LYCEE MEDITERRANEE (DE LA ) (GENERAL ET TECHNO.);2019;LA CIOTAT;AIX-MARSEILLE;BOUCHES DU RHONE;96;95
LYCEE AMI;2019;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;100;95
LYCEE SAINT CHARLES;2019;ST MARTIN DE CRAU;AIX-MARSEILLE;BOUCHES DU RHONE;100;97
LYCEE ANDRE MAUROIS;2019;DEAUVILLE;NORMANDIE;CALVADOS;87;92
LYCEE ALBERT SOREL (GENERAL ET TECHNO.);2019;HONFLEUR;NORMANDIE;CALVADOS;88;90
INSTITUTION JEANNE D'ARC;2019;BAYEUX;NORMANDIE;CALVADOS;95;92
LYCEE ARCISSE DE CAUMONT (GENERAL ET TECHNO.);2019;BAYEUX;NORMANDIE;CALVADOS;84;91
LYCEE LES ROSIERS;2019;LISIEUX;NORMANDIE;CALVADOS;96;92
LYCEE DE HAUTE AUVERGNE (GENERAL ET TECHNO.);2019;ST FLOUR;CLERMONT-FERRAND;CANTAL;97;96
LYCEE DE LA COMMUNICATION ST GERAUD (GENERAL ET TECHNO.);2019;AURILLAC;CLERMONT-FERRAND;CANTAL;97;99
LYCEE GERBERT (GENERAL ET TECHNO.);2019;AURILLAC;CLERMONT-FERRAND;CANTAL;88;91
LYCEE MARGUERITE DE VALOIS;2019;ANGOULEME;POITIERS;CHARENTE;88;91
LYCEE EMILE ROUX (GENERAL ET TECHNO.);2019;CONFOLENS;POITIERS;CHARENTE;92;91
LYCEE SAINTE MARTHE CHAVAGNES;2019;ANGOULEME;POITIERS;CHARENTE;90;93
LYCEE HOTELIER (GENERAL ET TECHNO.);2019;LA ROCHELLE;POITIERS;CHARENTE MARITIME;100;97
LYCEE ALAIN FOURNIER;2019;BOURGES;ORLEANS-TOURS;CHER;93;92
LYCEE JEAN MOULIN;2019;ST AMAND MONTROND;ORLEANS-TOURS;CHER;84;89
LYCEE D ARSONVAL;2019;BRIVE LA GAILLARDE;LIMOGES;CORREZE;92;93
LYCEE BERNART DE VENTADOUR;2019;USSEL;LIMOGES;CORREZE;84;91
LYCEE MARGUERITE BAHUET (GENERAL ET TECHNO.);2019;BRIVE LA GAILLARDE;LIMOGES;CORREZE;100;91
LYCEE DESIRE NISARD (GENERAL ET TECHNO.);2019;CHATILLON SUR SEINE;DIJON;COTE D'OR;76;89
LYCEE CARNOT;2019;DIJON;DIJON;COTE D'OR;97;95
LYCEE MONTCHAPET;2019;DIJON;DIJON;COTE D'OR;90;92
LYCEE LE CASTEL (GENERAL ET TECHNO.);2019;DIJON;DIJON;COTE D'OR;83;91
LYCEE JEAN-MARC BOIVIN;2019;CHEVIGNY ST SAUVEUR;DIJON;COTE D'OR;88;91
LYCEE SIMONE WEIL (GENERAL ET TECHNO.);2019;DIJON;DIJON;COTE D'OR;97;95
LYCEE ERNEST RENAN;2019;ST BRIEUC;RENNES;COTES D'ARMOR;91;96
LYCEE SAINT JOSEPH - BOSSUET;2019;LANNION;RENNES;COTES D'ARMOR;97;94
LYCEE JEAN XXIII;2019;QUINTIN;RENNES;COTES D'ARMOR;96;96
LYCEE ST CHARLES;2019;ST BRIEUC;RENNES;COTES D'ARMOR;98;98
LYCEE HENRI AVRIL (GENERAL ET TECHNO.);2019;LAMBALLE;RENNES;COTES D'ARMOR;94;95
LYCEE EUGENE JAMOT;2019;AUBUSSON;LIMOGES;CREUSE;92;92
LYCEE RAYMOND LOEWY;2019;LA SOUTERRAINE;LIMOGES;CREUSE;91;94
LYCEE GEORGES CUVIER;2019;MONTBELIARD;BESANCON;DOUBS;81;91
LYCEE GERMAINE TILLION (GENERAL ET TECHNO.);2019;MONTBELIARD;BESANCON;DOUBS;92;92
LYCEE NOTRE DAME DE LA GALAURE;2019;CHATEAUNEUF DE GALAURE;GRENOBLE;DROME;100;98
LYCEE LES TROIS SOURCES;2019;BOURG LES VALENCE;GRENOBLE;DROME;91;91
LYCEE ARISTIDE BRIAND;2019;EVREUX;NORMANDIE;EURE;82;90
LYCEE LOUISE MICHEL (GENERAL ET TECHNO.);2019;GISORS;NORMANDIE;EURE;86;91
LYCEE DES ROCHES;2019;VERNEUIL SUR AVRE;NORMANDIE;EURE;82;91
LYCEE JACQUES PREVERT;2019;PONT AUDEMER;NORMANDIE;EURE;89;94
LYCEE MARCEAU;2019;CHARTRES;ORLEANS-TOURS;EURE ET LOIR;92;96
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2019;DREUX;ORLEANS-TOURS;EURE ET LOIR;91;92
LYCEE NOTRE DAME;2019;CHARTRES;ORLEANS-TOURS;EURE ET LOIR;99;97
LYCEE JULES LESVEN;2019;BREST;RENNES;FINISTERE;94;93
LYCEE YVES THEPOT (GENERAL ET TECHNO.);2019;QUIMPER;RENNES;FINISTERE;95;93
LYCEE ST SEBASTIEN;2019;LANDERNEAU;RENNES;FINISTERE;97;94
LYCEE JAVOUHEY;2019;BREST;RENNES;FINISTERE;97;95
LYCEE DHUODA;2019;NIMES;MONTPELLIER;GARD;89;91
LYCEE ERNEST HEMINGWAY (GENERAL ET TECHNO.);2019;NIMES;MONTPELLIER;GARD;94;92
LYCEE SAINT STANISLAS;2019;NIMES;MONTPELLIER;GARD;90;91
LYCEE DE LA SALLE (GENERAL ET TECHNO.);2019;ALES;MONTPELLIER;GARD;100;95
LYCEE ST VINCENT DE PAUL;2019;NIMES;MONTPELLIER;GARD;96;93
LYCEE JEAN VILAR;2019;VILLENEUVE LES AVIGNON;MONTPELLIER;GARD;92;93
LYCEE SAINT-SERNIN;2019;TOULOUSE;TOULOUSE;HAUTE GARONNE;97;98
LYCEE OZENNE;2019;TOULOUSE;TOULOUSE;HAUTE GARONNE;93;96
LYCEE SAINTE-MARIE DES CHAMPS;2019;TOULOUSE;TOULOUSE;HAUTE GARONNE;100;97
LYCEE RIVE GAUCHE;2019;TOULOUSE;TOULOUSE;HAUTE GARONNE;80;87
LYCEE INTERNATIONAL VICTOR HUGO;2019;COLOMIERS;TOULOUSE;HAUTE GARONNE;97;96
LYCEE PIERRE-PAUL RIQUET;2019;LABEGE;TOULOUSE;HAUTE GARONNE;97;97
LYCEE SAINT-EXUPERY (GENERAL ET TECHNO.);2019;BLAGNAC;TOULOUSE;HAUTE GARONNE;96;96
LYCEE MONTESQUIEU;2019;BORDEAUX;BORDEAUX;GIRONDE;87;93
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.);2019;TALENCE;BORDEAUX;GIRONDE;90;93
LYCEE ALBERT LE GRAND;2019;BORDEAUX;BORDEAUX;GIRONDE;90;92
LYCEE ST GENES LA SALLE;2019;BORDEAUX;BORDEAUX;GIRONDE;100;98
LYCEE STE MARIE GRAND LEBRUN;2019;BORDEAUX;BORDEAUX;GIRONDE;100;98
LYCEE BEL ORME;2019;BORDEAUX;BORDEAUX;GIRONDE;92;94
LYCEE JEAN MOULIN;2019;LANGON;BORDEAUX;GIRONDE;92;93
LYCEE SUD MEDOC LA BOETIE;2019;LE TAILLAN MEDOC;BORDEAUX;GIRONDE;97;97
LYCEE PHILIPPE COUSTEAU;2019;ST ANDRE DE CUBZAC;BORDEAUX;GIRONDE;90;90
LYCEE VACLAV HAVEL (GENERAL ET TECHNO.);2019;BEGLES;BORDEAUX;GIRONDE;95;94
LYCEE AUGUSTE LOUBATIERES (GENERAL ET TECHNO.);2019;AGDE;MONTPELLIER;HERAULT;95;89
LYCEE JOFFRE;2019;MONTPELLIER;MONTPELLIER;HERAULT;93;94
LYCEE LA TRINITE;2019;BEZIERS;MONTPELLIER;HERAULT;99;97
LYCEE NOTRE DAME DE LA MERCI;2019;MONTPELLIER;MONTPELLIER;HERAULT;98;98
LYCEE RABELAIS;2019;MONTPELLIER;MONTPELLIER;HERAULT;89;87
LYCEE LA MERCI LITTORAL (GENERAL ET TECHNO.);2019;LA GRANDE MOTTE;MONTPELLIER;HERAULT;94;97
LYCEE BREQUIGNY;2019;RENNES;RENNES;ILLE ET VILAINE;92;95
LYCEE RENE DESCARTES;2019;RENNES;RENNES;ILLE ET VILAINE;93;95
INSTITUTION ST MALO-PROVIDENCE;2019;ST MALO;RENNES;ILLE ET VILAINE;98;97
LYCEE JEAN BRITO;2019;BAIN DE BRETAGNE;RENNES;ILLE ET VILAINE;97;96
LYCEE ST MAGLOIRE;2019;DOL DE BRETAGNE;RENNES;ILLE ET VILAINE;99;94
LYCEE ROLLINAT;2019;ARGENTON SUR CREUSE;ORLEANS-TOURS;INDRE;89;91
LYCEE NOTRE DAME LA RICHE;2019;TOURS;ORLEANS-TOURS;INDRE ET LOIRE;91;94
LYCEE SAINTE MARGUERITE;2019;CHAMBRAY LES TOURS;ORLEANS-TOURS;INDRE ET LOIRE;96;96
LYCEE L'OISELET;2019;BOURGOIN JALLIEU;GRENOBLE;ISERE;86;90
LYCEE HECTOR BERLIOZ (GENERAL ET TECHNO.);2019;LA COTE ST ANDRE;GRENOBLE;ISERE;85;89
LYCEE STENDHAL;2019;GRENOBLE;GRENOBLE;ISERE;96;95
LYCEE CHARLES GABRIEL PRAVAZ (GENERAL ET TECHNO.);2019;LE PONT DE BEAUVOISIN;GRENOBLE;ISERE;94;94
LYCEE DU GRESIVAUDAN (GENERAL ET TECHNO.);2019;MEYLAN;GRENOBLE;ISERE;95;98
LYCEE PHILIBERT DELORME (GENERAL ET TECHNO.);2019;L ISLE D ABEAU;GRENOBLE;ISERE;91;90
LYCEE MARIE CURIE;2019;ECHIROLLES;GRENOBLE;ISERE;91;89
LYCEE PHILIPPINE DUCHESNE;2019;LA TRONCHE;GRENOBLE;ISERE;99;98
LYCEE VICTOR BERARD (GENERAL ET TECHNO.);2019;MOREZ;BESANCON;JURA;97;96
LYCEE PAUL EMILE VICTOR (GENERAL ET TECHNO.);2019;CHAMPAGNOLE;BESANCON;JURA;97;94
LYCEE PASTEUR MONT ROLAND (GENERAL ET TECHNO.);2019;DOLE;BESANCON;JURA;87;93
LYCEE HAROUN TAZIEFF (GENERAL ET TECHNO.);2019;ST PAUL LES DAX;BORDEAUX;LANDES;91;95
LYCEE ST JACQUES DE COMPOSTELLE;2019;DAX;BORDEAUX;LANDES;98;96
LYCEE FRANCOIS PHILIBERT DESSAIGNES;2019;BLOIS;ORLEANS-TOURS;LOIR ET CHER;86;93
LYCEE CAMILLE CLAUDEL;2019;BLOIS;ORLEANS-TOURS;LOIR ET CHER;92;93
LYCEE JEAN PUY;2019;ROANNE;LYON;LOIRE;84;93
LYCEE HONORE D'URFE;2019;ST ETIENNE;LYON;LOIRE;85;91
LYCEE SAINTE MARIE LA GRAND'GRANGE;2019;ST CHAMOND;LYON;LOIRE;95;95
LYCEE NOTRE DAME;2019;CHARLIEU;LYON;LOIRE;94;95
LYCEE SAINT PAUL;2019;ST ETIENNE;LYON;LOIRE;99;96
LYCEE LA SALESIENNE;2019;ST ETIENNE;LYON;LOIRE;98;96
LYCEE DES HORIZONS;2019;CHAZELLES SUR LYON;LYON;LOIRE;97;96
LYCEE LA FAYETTE;2019;BRIOUDE;CLERMONT-FERRAND;HAUTE LOIRE;90;91
LYCEE CHARLES ET ADRIEN DUPUY (GENERAL ET TECHNO.);2019;LE PUY EN VELAY;CLERMONT-FERRAND;HAUTE LOIRE;93;95
LYCEE LEONARD DE VINCI;2019;MONISTROL SUR LOIRE;CLERMONT-FERRAND;HAUTE LOIRE;97;95
LYCEE GUY MOQUET - ETIENNE LENOIR (GENERAL ET TECHNO.);2019;CHATEAUBRIANT;NANTES;LOIRE ATLANTIQUE;82;93
LYCEE ST JOSEPH;2019;ANCENIS;NANTES;LOIRE ATLANTIQUE;99;97
LYCEE SACRE COEUR LA SALLE;2019;NANTES;NANTES;LOIRE ATLANTIQUE;78;88
LYCEE ST PIERRE LA JOLIVERIE;2019;ST SEBASTIEN SUR LOIRE CED;NANTES;LOIRE ATLANTIQUE;100;97
LYCEE ALBERT CAMUS;2019;NANTES;NANTES;LOIRE ATLANTIQUE;76;87
LYCEE LES BOURDONNIERES (GENERAL ET TECHNO.);2019;NANTES;NANTES;LOIRE ATLANTIQUE;92;95
LYCEE NELSON MANDELA (GENERAL ET TECHNO.);2019;NANTES;NANTES;LOIRE ATLANTIQUE;92;96
LYCEE SAINT CHARLES;2019;ORLEANS;ORLEANS-TOURS;LOIRET;99;98
LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.);2019;INGRE;ORLEANS-TOURS;LOIRET;90;93
LYCEE TECH INNOVANTES - V DE GARONNE (GENERAL ET TECHNO.);2019;MARMANDE;BORDEAUX;LOT ET GARONNE;89;93
LYCEE EMILE PEYTAVIN;2019;MENDE;MONTPELLIER;LOZERE;97;94
LYCEE SAINT-JOSEPH;2019;MARVEJOLS;MONTPELLIER;LOZERE;98;95
LYCEE NOTRE-DAME (GENERAL ET TECHNO.);2019;MENDE;MONTPELLIER;LOZERE;94;92
LYCEE FERNAND RENAUDEAU (GENERAL ET TECHNO.);2019;CHOLET;NANTES;MAINE ET LOIRE;97;96
LYCEE SADI CARNOT - JEAN BERTIN (GENERAL ET TECHNO.);2019;SAUMUR;NANTES;MAINE ET LOIRE;75;90
LYCEE ND DE BONNES NOUVELLES;2019;BEAUPREAU;NANTES;MAINE ET LOIRE;96;96
LYCEE ND D'ORVEAU;2019;SEGRE EN ANJOU BLEU;NANTES;MAINE ET LOIRE;94;96
LYCEE SACRE COEUR LA SALLE;2019;ANGERS;NANTES;MAINE ET LOIRE;95;97
LYCEE AUGUSTE ET JEAN RENOIR;2019;ANGERS;NANTES;MAINE ET LOIRE;94;95
LYCEE EMMANUEL MOUNIER;2019;ANGERS;NANTES;MAINE ET LOIRE;90;94
LYCEE LES ARDILLIERS;2019;SAUMUR;NANTES;MAINE ET LOIRE;81;95
LYCEE SAINTE MARIE;2019;CHOLET;NANTES;MAINE ET LOIRE;98;97
LYCEE URBAIN MONGAZON;2019;ANGERS;NANTES;MAINE ET LOIRE;96;97
LYCEE SAINT AUBIN LA SALLE;2019;VERRIERES EN ANJOU;NANTES;MAINE ET LOIRE;92;95
LYCEE CLAUDE LEHEC (GENERAL ET TECHNO.);2019;ST HILAIRE DU HARCOUET;NORMANDIE;MANCHE;95;92
LYCEE SIVARD DE BEAULIEU;2019;CARENTAN LES MARAIS;NORMANDIE;MANCHE;91;94
LYCEE MAURICE MARLAND (GENERAL ET TECHNO.);2019;GRANVILLE;NORMANDIE;MANCHE;95;96
LYCEE PIERRE BAYEN;2019;CHALONS EN CHAMPAGNE;REIMS;MARNE;89;92
LYCEE EUROPEEN STEPHANE HESSEL (GENERAL ET TECHNO.);2019;EPERNAY;REIMS;MARNE;85;91
LYCEE FREDERIC OZANAM;2019;CHALONS EN CHAMPAGNE;REIMS;MARNE;97;95
LYCEE HAUTE FOLLIS;2019;LAVAL;NANTES;MAYENNE;97;96
LYCEE ALFRED MEZIERES (GENERAL ET TECHNO.);2019;LONGWY;NANCY-METZ;MEURTHE ET MOSELLE;80;88
LYCEE FREDERIC CHOPIN;2019;NANCY;NANCY-METZ;MEURTHE ET MOSELLE;86;90
LYCEE LOUIS MAJORELLE;2019;TOUL;NANCY-METZ;MEURTHE ET MOSELLE;93;93
LYCEE JACQUES CALLOT;2019;VANDOEUVRE LES NANCY;NANCY-METZ;MEURTHE ET MOSELLE;92;92
LYCEE PIERRE DE COUBERTIN;2019;NANCY;NANCY-METZ;MEURTHE ET MOSELLE;100;90
LYCEE CHARLES DE FOUCAULD;2019;NANCY;NANCY-METZ;MEURTHE ET MOSELLE;89;90
LYCEE SAINTE ANNE;2019;VERDUN;NANCY-METZ;MEUSE;96;93
LYCEE ST PAUL;2019;VANNES;RENNES;MORBIHAN;100;97
LYCEE JEANNE D'ARC-ST IVY;2019;PONTIVY;RENNES;MORBIHAN;98;96
LYCEE ST JOSEPH - LA SALLE;2019;VANNES;RENNES;MORBIHAN;97;95
LYCEE NOTRE DAME LE MENIMUR;2019;VANNES;RENNES;MORBIHAN;99;95
LYCEE BENJAMIN FRANKLIN;2019;AURAY;RENNES;MORBIHAN;93;96
LYCEE JEAN MACE (GENERAL ET TECHNO.);2019;LANESTER;RENNES;MORBIHAN;91;95
LYCEE JEAN-VICTOR PONCELET (GENERAL ET TECHNO.);2019;ST AVOLD;NANCY-METZ;MOSELLE;91;89
LYCEE NOTRE DAME;2019;PELTRE;NANCY-METZ;MOSELLE;91;94
LYCEE SAINTE CHRETIENNE;2019;SARREGUEMINES;NANCY-METZ;MOSELLE;95;88
LYCEE GEORGES DE LA TOUR;2019;METZ;NANCY-METZ;MOSELLE;94;94
LYCEE LOUIS DE CORMONTAIGNE (GENERAL ET TECHNO.);2019;METZ;NANCY-METZ;MOSELLE;84;86
LYCEE SIMONE DOUNON (GENERAL ET TECHNO.);2019;COSNE COURS SUR LOIRE;DIJON;NIEVRE;94;94
LYCEE PAUL HAZARD;2019;ARMENTIERES;LILLE;NORD;90;93
LYCEE JOSEPH MARIE JACQUARD (GENERAL ET TECHNO.);2019;CAUDRY;LILLE;NORD;92;85
LYCEE JEAN BART;2019;DUNKERQUE;LILLE;NORD;94;92
LYCEE DE L'EUROPE;2019;DUNKERQUE;LILLE;NORD;83;83
LYCEE MARGUERITE DE FLANDRE;2019;GONDECOURT;LILLE;NORD;92;93
LYCEE JEAN PERRIN;2019;LAMBERSART;LILLE;NORD;92;93
LYCEE DUPLEIX;2019;LANDRECIES;LILLE;NORD;92;91
LYCEE FENELON;2019;LILLE;LILLE;NORD;82;91
LYCEE LOUIS PASTEUR;2019;LILLE;LILLE;NORD;83;91
LYCEE CESAR BAGGIO;2019;LILLE;LILLE;NORD;81;83
LYCEE HÈTELIER INTERNATIONAL DE LILL;2019;LILLE;LILLE;NORD;92;91
LYCEE YVES KERNANEC;2019;MARCQ EN BAROEUL;LILLE;NORD;88;93
LYCEE ERNEST COUTEAUX (GENERAL ET TECHNO.);2019;ST AMAND LES EAUX;LILLE;NORD;86;90
LYCEE JULES MOUSSERON;2019;DENAIN;LILLE;NORD;78;81
LYCEE LA CROIX BLANCHE;2019;BONDUES;LILLE;NORD;98;98
LYCEE SAINT JEAN;2019;DOUAI;LILLE;NORD;97;97
LYCEE EIC JEHANNE D'ARC;2019;TOURCOING;LILLE;NORD;94;89
LYCEE FREDERIC OZANAM;2019;LILLE;LILLE;NORD;95;95
LYCEE VAUBAN;2019;DUNKERQUE;LILLE;NORD;97;93
LYCEE SAINT LUC;2019;CAMBRAI;LILLE;NORD;97;95
LYCEE SAINT PIERRE (GENERAL ET TECHNO.);2019;FOURMIES;LILLE;NORD;87;84
LYCEE RAYMOND QUENEAU;2019;VILLENEUVE D ASCQ;LILLE;NORD;82;87
LYCEE DU NOORDOVER;2019;GRANDE SYNTHE;LILLE;NORD;85;85
INSTITUT SAINT VINCENT DE PAUL;2019;LOOS;LILLE;NORD;96;94
LYCEE D'EXCELLENCE EDGAR MORIN;2019;DOUAI;LILLE;NORD;86;82
LYCEE FRANCOIS TRUFFAUT;2019;BEAUVAIS;AMIENS;OISE;93;91
LYCEE ST JOSEPH DU MONCEL;2019;PONT STE MAXENCE;AMIENS;OISE;98;94
LYCEE JEAN MONNET;2019;CREPY EN VALOIS;AMIENS;OISE;97;93
LYCEE DES ANDAINES (GENERAL ET TECHNO.);2019;LA FERTE MACE;NORMANDIE;ORNE;87;90
LYCEE JEANNE D ARC;2019;ARGENTAN;NORMANDIE;ORNE;84;95
LYCEE ROBESPIERRE;2019;ARRAS;LILLE;PAS DE CALAIS;90;94
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2019;BOULOGNE SUR MER;LILLE;PAS DE CALAIS;92;91
LYCEE DIDEROT;2019;CARVIN;LILLE;PAS DE CALAIS;82;87
LYCEE HENRI DARRAS;2019;LIEVIN;LILLE;PAS DE CALAIS;86;89
LYCEE GUY MOLLET (GENERAL ET TECHNO.);2019;ARRAS;LILLE;PAS DE CALAIS;88;89
LYCEE JEAN BOSCO (GENERAL ET TECHNO.);2019;GUINES;LILLE;PAS DE CALAIS;85;92
LYCEE JAN LAVEZZARI (GENERAL ET TECHNO.);2019;BERCK;LILLE;PAS DE CALAIS;88;92
LYCEE VAUBAN (GENERAL ET TECHNO.);2019;AIRE SUR LA LYS;LILLE;PAS DE CALAIS;98;94
LYCEE SIDOINE APOLLINAIRE;2019;CLERMONT FERRAND;CLERMONT-FERRAND;PUY DE DOME;84;89
LYCEE JEAN ZAY;2019;THIERS;CLERMONT-FERRAND;PUY DE DOME;90;92
LYCEE SAINT PIERRE;2019;COURPIERE;CLERMONT-FERRAND;PUY DE DOME;96;92
LYCEE GASTON FEBUS;2019;ORTHEZ;BORDEAUX;PYRENEES ATLANTIQUES;96;94
LYCEE LARGENTE;2019;BAYONNE;BORDEAUX;PYRENEES ATLANTIQUES;96;94
LYCEE MICHELET;2019;LANNEMEZAN;TOULOUSE;HAUTES PYRENEES;94;93
LYCEE THEOPHILE GAUTIER;2019;TARBES;TOULOUSE;HAUTES PYRENEES;94;95
LYCEE PABLO PICASSO (GENERAL ET TECHNO.);2019;PERPIGNAN;MONTPELLIER;PYRENEES ORIENTALES;90;92
LYCEE SAINTE-LOUISE-DE-MARILLAC (GENERAL ET TECHNO.);2019;PERPIGNAN;MONTPELLIER;PYRENEES ORIENTALES;100;95
LYCEE SAINT PIERRE DE LA MER;2019;ST CYPRIEN;MONTPELLIER;PYRENEES ORIENTALES;92;93
LYCEE SCHURE;2019;BARR;STRASBOURG;BAS RHIN;98;93
LYCEE ADRIEN ZELLER;2019;BOUXWILLER;STRASBOURG;BAS RHIN;94;94
LYCEE ROBERT SCHUMAN;2019;HAGUENAU;STRASBOURG;BAS RHIN;94;94
LYCEE HENRI MECK;2019;MOLSHEIM;STRASBOURG;BAS RHIN;92;94
LYCEE ALEXANDRE DUMAS (HOTELIER) (GENERAL ET TECHNO.);2019;ILLKIRCH GRAFFENSTADEN;STRASBOURG;BAS RHIN;96;98
LYCEE ORT;2019;STRASBOURG;STRASBOURG;BAS RHIN;91;91
INSTITUTION SAINTE CLOTILDE;2019;STRASBOURG;STRASBOURG;BAS RHIN;93;94
LYCEE HAUT-BARR (GENERAL ET TECHNO.);2019;SAVERNE;STRASBOURG;BAS RHIN;95;92
LYCEE FREDERIC KIRSCHLEGER;2019;MUNSTER;STRASBOURG;HAUT RHIN;95;95
LYCEE RIBEAUPIERRE;2019;RIBEAUVILLE;STRASBOURG;HAUT RHIN;94;94
COLLEGE EPISCOPAL;2019;ZILLISHEIM;STRASBOURG;HAUT RHIN;99;96
LYCEE LAVOISIER (GENERAL ET TECHNO.);2019;MULHOUSE;STRASBOURG;HAUT RHIN;86;78
LYCEE SAINT JUST;2019;LYON 05;LYON;RHONE;92;96
LYCEE JEAN PERRIN;2019;LYON 09;LYON;RHONE;83;88
LYCEE CLAUDE BERNARD (GENERAL ET TECHNO.);2019;VILLEFRANCHE SUR SAONE CED;LYON;RHONE;87;92
LYCEE FREDERIC FAYS (GENERAL ET TECHNO.);2019;VILLEURBANNE;LYON;RHONE;76;85
LYCEE LA FAVORITE SAINTE THERESE;2019;LYON 05;LYON;RHONE;100;98
LYCEE BELMONT-CAPDEPON;2019;LYON 07;LYON;RHONE;98;95
